templateKey,title,description,type,sellPrice,tags
blog-post,Cave Carrot,A starchy snack found in caves. It helps miners work longer.,forage,25,"forageable, edible, The Mines"
blog-post,Eggplant,A rich and wholesome relative of the tomato. Delicious fried or stewed.,vegetable,60,"edible, Summer, multi"
blog-post,Blue Jazz,The flower grows in a sphere to invite as many butterflies as possible.,flower,50,"Spring, edible, flower"
blog-post,Cauliflower,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients.",vegetable,175,"Spring, edible, vegetable"
blog-post,Coffee Bean,Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.,seed,15,"Spring, Summer, seed"
blog-post,Garlic,Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy.,vegetable,60,"Spring, edible, vegetable"
blog-post,Green Bean,"A juicy little bean with a cool, crisp snap.",vegetable,40,"Spring, edible, vegetable"
blog-post,Kale,The waxy leaves are great in soups and stir frys.,vegetable,110,"Spring, edible, vegetable"
blog-post,Parsnip,A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients.,vegetable,35,"Spring, edible, Pam, vegetable"
blog-post,Potato,A widely cultivated tuber.,vegetable,80,"Spring, edible, vegetable"
blog-post,Rhubarb,"The stalks are extremely tart, but make a great dessert when sweetened",fruit,220,"Spring, fruit"
blog-post,Strawberry,"A sweet, juicy favorite with an appealing red color",fruit,120,"Spring, Maru, Demetrius, edible, fruit"
blog-post,Tulip,The most popular spring flower. Has a very faint sweet smell,flower,30,"Spring, edible, Evelyn, flower"
blog-post,Unmilled Rice,Rice in its rawest form. Run this through a mill to increase the value,vegetable,30,"Spring, vegetable"
blog-post,Blueberry,A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration,fruit,50,"Spring, edible, fruit"
blog-post,Corn,"One of the most popular grains. The sweet, fresh cobs are a summer favorite",vegetable,50,"Summer, Fall, edible, vegetable"
blog-post,Hops,"A bitter, tangy flower used to flavor beer",vegetable,25,"Summer, edible, vegetable"
blog-post,Hot Pepper,Fiery hot with a hint of sweetness,fruit,40,"Summer, edible, Linus, Shane, vegetable"
blog-post,Melon,"A cool, sweet summer treat",fruit,250,"Summer, Haley, edible, fruit"
blog-post,Poppy,"In addition to its colorful flower, the Poppy has culinary and medicinal uses",flower,140,"Summer, Penny, edible, flower"
blog-post,Radish,A crisp and refreshing root vegetable with hints of pepper when eaten raw,vegetable,90,"Summer, edible, vegetable"
blog-post,Red Cabbage,Often used in salads and coleslaws. The color can range from purple to blue to green-yellow depending on soil conditions.,vegetable,260,"Summer, edible, vegetable"
blog-post,Starfruit,"An extremely juicy fruit that grows in hot, humid weather. Slightly sweet with a sour undertone.",fruit,750,"Summer, edible, fruit"
blog-post,Summer Spangle,"A tropical bloom that thrives in the humid summer air. Has a sweet, tangy aroma.",flower,90,"Summer, edible, flower"
blog-post,Sunflower,A common misconception is that the flower turns so it's always facing the sun,flower,80,"Summer, Fall, edible, flower"
blog-post,Tomato,"Rich and slightly tangy, the Tomato has a wide variety of culinary uses",vegetable,60,"Summer, edible, vegetable"
blog-post,Wheat,One of the most widely cultivated grains. Makes a great flour for breads and cakes,vegetable,25,"Summer, Fall, edible, vegetable"
blog-post,Coconut,A seed of the coconut palm. It has many culinary uses.,fruit,100,"""Spring"",""Summer"",""Fall"",""Winter"",The Desert, Tom Kha Soup, Jelly, inedible, Haley, Linus, fruit"
blog-post,Cactus Fruit,The sweet fruit of the prickly pear cactus.,fruit,75,"indoor, Sam, Pam, Linus, Jelly, The Desert, Exotic Foraging Bundle"
blog-post,Purple Mushroom,A rare mushroom found deep in caves.,forage,250,"The Mines, Farm Cave, edible, forageable"
blog-post,Snow Yam,This little yam was hiding beneath the snow.,forage,100,"Winter, edible, forage, forageable"
blog-post,Crystal Fruit,A delicate fruit that pops up from the snow.,fruit,150,"fruit, forageable, jelly, wine"
blog-post,Amaranth,A purple grain cultivated by an ancient civilization.,vegetable,150,vegetable
blog-post,Artichoke,"The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior.",vegetable,160,vegetable
blog-post,Beet,"A sweet and earthy root vegatable. As a bonus, the leaves make a great salad.",vegetable,100,"vegetable, \""The Mysterious Qi\"" Quest"
blog-post,Bok Choy,The leafy greens and fibrous stalks are healthy and delicious.,vegetable,80,"vegetable,"
blog-post,Cranberries,These tart red berries are a traditional winter food.,fruit,75,"fruit, multi, wine, jelly"
blog-post,Fairy Rose,An old folk legend suggests that the sweet smell of this flower attracts fairies.,flower,290,"flower, Evelyn"
blog-post,Grape,"A sweet cluster of fruit.,",fruit,80,"fruit, seed, trellis, forageable"
blog-post,Pumpkin,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration.",vegetable,320,"vegetable, Abigail"
blog-post,Yam,A starchy tuber with a lot of culinary versatility.,vegetable,160,vegetable
blog-post,Ancient Fruit,It's been dormant for eons.,fruit,550,"fruit, Traveling Cart, Museum reward"
blog-post,Sweet Gem Berry,"It's been dormant for eons.,",fruit,3000,"fruit, Stardrop quest"
blog-post,Tea Leaves,"The young leaves of the tea plant. Can be brewed into the popular, energizing beverage.",vegetable,55,"vegetable, Caroline, monthly"
